Algorithm,Training Accuracy,Training Precision,Training Recall,Training F1-Score,Training True Positive Rate,Training True Negative Rate,Training Precision (C_1),Training Precision (C_0),Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test True Positive Rate,Test True Negative Rate,Test Precision (C_1),Test Precision (C_0),Validation Data Accuracy,Validation Data Precision,Validation Data Recall,Validation Data F1-Score,Validation Data True Positive Rate,Validation Data True Negative Rate,Validation Data Precision (C_1),Validation Data Precision (C_0),CV Mean,CV Standard Deviation
RandomForestClassifier,0.8627230046948356,0.860852411928456,0.8627230046948356,0.84233732015949,0.39815668202764976,0.9816037735849057,0.8470588235294118,0.8643821391484943,0.8513513513513513,0.8439246623195156,0.8513513513513513,0.8290806784732725,0.36855036855036855,0.9748585795097423,0.7894736842105263,0.8578539823008849,0.8569282763800226,0.8512545614394283,0.8569282763800226,0.8363394808624348,0.3892988929889299,0.9764262140499764,0.8084291187739464,0.8621981681931724,85.28,1.52
DecisionTreeClassifier,0.8475117370892019,0.8383218861550246,0.8475117370892019,0.824465079804288,0.3576036866359447,0.972877358490566,0.7713717693836978,0.8554541683948569,0.8373373373373373,0.8227489045869344,0.8373373373373373,0.8129670724034126,0.33415233415233414,0.9660590823381521,0.7157894736842105,0.8501106194690266,0.8449117536612842,0.8339501441705326,0.8449117536612842,0.8219020100625306,0.35424354243542433,0.9702970297029703,0.7529411764705882,0.8546511627906976,84.49,1.49
KNeighborsClassifier,0.8514553990610328,0.8434733300237538,0.8514553990610328,0.829839256973216,0.3741935483870968,0.9735849056603774,0.7837837837837838,0.8587476596629915,0.7937937937937938,0.7517354884335583,0.7937937937937938,0.7556024878719915,0.18673218673218672,0.9490886235072281,0.4840764331210191,0.8202064095600218,0.7968456627863312,0.7581228071718673,0.7968456627863312,0.7612571593654263,0.2047970479704797,0.9481376709099482,0.502262443438914,0.8235053235053235,80.24,1.24
XGBClassifier,0.9770892018779342,0.9774803170707566,0.9770892018779342,0.9766332695876541,0.8940092165898618,0.9983490566037736,0.9928352098259979,0.9735510579576817,0.8458458458458459,0.8333934014432774,0.8458458458458459,0.834665811589267,0.4668304668304668,0.9428032683846638,0.6761565836298933,0.8736167734420501,0.8550506947052197,0.8440800354602422,0.8550506947052197,0.842422389787386,0.46494464944649444,0.9547383309759547,0.7241379310344828,0.8747300215982722,85.18,1.11
GaussianNB,0.8018779342723005,0.8008631543333458,0.8018779342723005,0.8013633308014256,0.5069124423963134,0.8773584905660378,0.514018691588785,0.8742655699177438,0.8008008008008008,0.8011655564405907,0.8008008008008008,0.8009822762088762,0.5135135135135135,0.8742928975487115,0.511002444987775,0.8753933291378225,0.8043559894855427,0.8015696910676816,0.8043559894855427,0.802905357540341,0.5,0.8821310702498821,0.5201535508637236,0.8734827264239029,80.04,1.08
LogisticRegression,0.8187793427230047,0.8002237638100578,0.8187793427230047,0.7750997698658745,0.1935483870967742,0.9787735849056604,0.7,0.8258706467661692,0.8098098098098098,0.7798346336358034,0.8098098098098098,0.7651236956518908,0.1769041769041769,0.9717159019484601,0.6153846153846154,0.8219032429558746,0.8141194141945175,0.78835535272042,0.8141194141945175,0.7717784401719152,0.1937269372693727,0.9726544082979727,0.6441717791411042,0.8252,81.76,0.99
CatBoostClassifier,0.9181220657276995,0.9202140885560683,0.9181220657276995,0.9117371566872866,0.6350230414746544,0.9905660377358491,0.9451303155006858,0.9138381201044387,0.8563563563563563,0.8465543862369259,0.8563563563563563,0.8406757876541258,0.4348894348894349,0.9641734758013828,0.7564102564102564,0.8696145124716553,0.8588058580548253,0.8497291035177296,0.8588058580548253,0.8434234823046126,0.44095940959409596,0.9655822725129656,0.7660256410256411,0.8711186729051468,85.93,0.87
GradientBoostingClassifier,0.9352112676056338,0.9339925443248487,0.9352112676056338,0.9331360235718722,0.7640552995391705,0.9790094339622641,0.9030501089324618,0.9419105967778534,0.8418418418418419,0.8277619330167323,0.8418418418418419,0.8280273054318713,0.43243243243243246,0.9465744814582024,0.6743295019157088,0.8670120898100173,0.840781073976718,0.8271799759841456,0.840781073976718,0.8288691444332885,0.45018450184501846,0.9405940594059405,0.6594594594594595,0.8700392498909725,84.6,0.84
SVC,0.8420657276995305,0.8500216720729828,0.8420657276995305,0.8048076875926307,0.2552995391705069,0.9922169811320755,0.8935483870967742,0.8388833499501496,0.8283283283283284,0.8259792430802607,0.8283283283283284,0.7844021476553874,0.20393120393120392,0.9880578252671276,0.8137254901960784,0.8291139240506329,0.8310176492677431,0.834730773581326,0.8310176492677431,0.786696177707544,0.2047970479704797,0.991041961338991,0.8538461538461538,0.8298460323726806,82.22,0.83
LGBMClassifier,0.9331455399061033,0.935115942909285,0.9331455399061033,0.9289591294409678,0.6986175115207374,0.9931603773584906,0.963151207115629,0.9279418245923314,0.8458458458458459,0.8325760821999931,0.8458458458458459,0.8299224154461112,0.4176904176904177,0.9553739786297926,0.7053941908713693,0.8651109846328969,0.8535486293653773,0.8422221260273426,0.8535486293653773,0.8406201452651757,0.45940959409594095,0.9542668552569543,0.7196531791907514,0.8735433750539491,85.69,0.71
