Algorithm,Training Accuracy,Training Precision,Training Recall,Training F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,CV Mean,CV Standard Deviation
LogisticRegression,0.9985333333333334,0.9985348929130589,0.9985333333333334,0.9985338677826668,0.9988,0.99880703125,0.9988,0.9988013106025047,99.85,0.09
GaussianNB,0.9985333333333334,0.9985348929130589,0.9985333333333334,0.9985338677826668,0.9988,0.99880703125,0.9988,0.9988013106025047,99.85,0.09
KNeighborsClassifier,0.9797333333333333,0.980165282084907,0.9797333333333333,0.97934766607758,0.9592,0.96088574167316,0.9592,0.9575169565217391,96.47,0.5
RandomForestClassifier,1.0,1.0,1.0,1.0,0.9988,0.99880703125,0.9988,0.9988013106025047,99.85,0.09
DecisionTreeClassifier,1.0,1.0,1.0,1.0,0.9976,0.9976,0.9976,0.9976,99.69,0.17
SVC,0.9985333333333334,0.9985348929130589,0.9985333333333334,0.9985338677826668,0.9988,0.99880703125,0.9988,0.9988013106025047,99.85,0.09
XGBClassifier,1.0,1.0,1.0,1.0,0.9988,0.99880703125,0.9988,0.9988013106025047,99.85,0.09
LGBMClassifier,1.0,1.0,1.0,1.0,0.9988,0.99880703125,0.9988,0.9988013106025047,99.85,0.09
