Algorithm,Training Accuracy,Training Precision,Training Recall,Training F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,CV Mean,CV Standard Deviation
LogisticRegression,0.6811444875961005,0.6811505075287245,0.6811444875961005,0.6811003091286283,0.7072072072072072,0.8038128472749996,0.7072072072072072,0.7336142765686625,67.92,2.63
GaussianNB,0.6866925576602996,0.6867112434777168,0.6866925576602996,0.6866387193177688,0.7252252252252253,0.8178642778022674,0.7252252252252253,0.7498015177362666,68.39,2.64
KNeighborsClassifier,0.8942696362051201,0.9100294475029536,0.8942696362051201,0.8933400253738404,0.7222222222222222,0.8057934003226832,0.7222222222222222,0.7461187233301595,82.69,2.18
RandomForestClassifier,0.7751446461123881,0.7751475013806001,0.7751446461123881,0.7751334064776217,0.7732732732732732,0.8379696387086438,0.7732732732732732,0.7912462034423758,76.44,1.79
DecisionTreeClassifier,0.7642862804153127,0.7645966953817868,0.7642862804153127,0.7642607130485166,0.7607607607607607,0.8410233944901969,0.7607607607607607,0.7813699045079834,75.91,1.74
XGBClassifier,0.958468732662281,0.958857648582362,0.958468732662281,0.95845460403407,0.8543543543543544,0.8482125265188485,0.8543543543543544,0.8504756727310229,88.96,7.79
LGBMClassifier,0.9283506380280574,0.9290889490354219,0.9283506380280574,0.9283061819303172,0.8543543543543544,0.8521803376280987,0.8543543543543544,0.8531880366385581,88.24,6.47
CatBoostClassifier,0.930569866053737,0.9313947298952298,0.930569866053737,0.9305228052727813,0.8588588588588588,0.8528907908571581,0.8588588588588588,0.8550222641482157,89.21,7.34
