Algorithm,Training Accuracy,Training Precision,Training Recall,Training F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,CV Mean,CV Standard Deviation
LogisticRegression,0.8248,0.8039206572922637,0.8248,0.7979540180706604,0.8232,0.8013558021321026,0.8232,0.7960480733903141,82.36,0.4
GaussianNB,0.812,0.8058335984667617,0.812,0.8085792853245569,0.7956,0.7922007323223035,0.7956,0.7938245042942552,81.04,0.8
KNeighborsClassifier,0.8833333333333333,0.8776128625847727,0.8833333333333333,0.8756666687933191,0.8376,0.8229063645255861,0.8376,0.8244534099122326,84.33,0.9
RandomForestClassifier,0.9997333333333334,0.9997334226240303,0.9997333333333334,0.9997332683997106,0.8464,0.8336532081864209,0.8464,0.8341482822554259,85.95,0.64
DecisionTreeClassifier,0.9998666666666667,0.9998666889930787,0.9998666666666667,0.9998666504408643,0.7888,0.7900392344600283,0.7888,0.7894108100312853,80.0,0.97
SVC,0.8654666666666667,0.8614629890521736,0.8654666666666667,0.8479507172502663,0.854,0.8481016499970053,0.854,0.8319333307045008,86.09,0.65
XGBClassifier,0.9362666666666667,0.9364511367635657,0.9362666666666667,0.9332263876986912,0.8456,0.8333058674519738,0.8456,0.8348883944443142,85.61,0.8
LGBMClassifier,0.9098666666666667,0.9080929534725564,0.9098666666666667,0.9043200889659876,0.8504,0.8385785992044344,0.8504,0.838819733702763,86.45,0.9
