Algorithm,Training Accuracy,Training Precision,Training Recall,Training F1-Score,Training True Positive Rate,Training True Negative Rate,Training Precision (C_1),Training Precision (C_0),Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test True Positive Rate,Test True Negative Rate,Test Precision (C_1),Test Precision (C_0),Validation Data Accuracy,Validation Data Precision,Validation Data Recall,Validation Data F1-Score,Validation Data True Positive Rate,Validation Data True Negative Rate,Validation Data Precision (C_1),Validation Data Precision (C_0),CV Mean,CV Standard Deviation
DecisionTreeClassifier,0.8687814585040384,0.868815470811971,0.8687814585040384,0.868772161630033,0.8752033465024401,0.8622641509433963,0.8657471264367816,0.8719294061531123,0.7827827827827828,0.80484638457348,0.7827827827827828,0.791553693966483,0.597051597051597,0.8302954116907605,0.47368421052631576,0.8895622895622896,0.7806984603830267,0.8097681485287578,0.7806984603830267,0.7915464618565351,0.6291512915129152,0.8194247996228194,0.47099447513812154,0.8963383187209902,83.01,1.69
LGBMClassifier,0.9594990050333606,0.9601075359772503,0.9594990050333606,0.9594912272422889,0.941900999302812,0.9773584905660377,0.9768618944323934,0.9431042330450614,0.8408408408408409,0.8304710173869052,0.8408408408408409,0.8335341559025768,0.5036855036855037,0.9270898805782527,0.6386292834890965,0.8795468097793679,0.8374014269620729,0.8280018944397906,0.8374014269620729,0.831229004036074,0.511070110701107,0.9207920792079208,0.6224719101123596,0.8805229936880072,85.35,1.23
XGBClassifier,0.9530609856022475,0.9539836132334858,0.9530609856022475,0.9530452583085653,0.9312107831745294,0.9752358490566038,0.9744649805447471,0.9331979237192507,0.8478478478478478,0.8394435253411567,0.8478478478478478,0.8421491086541939,0.538083538083538,0.9270898805782527,0.6537313432835821,0.8869512928442573,0.838152459631994,0.8286595952327501,0.838152459631994,0.8318645362895715,0.511070110701107,0.9217350306459218,0.6252821670428894,0.8806306306306306,85.13,0.97
LogisticRegression,0.8351867025635022,0.8356785781454862,0.8351867025635022,0.8351539360334244,0.8182663258191959,0.8523584905660377,0.849047504219918,0.8221110100090991,0.7712712712712713,0.7723177746852743,0.7712712712712713,0.7717894784309641,0.44471744471744473,0.8548082966687618,0.4393203883495146,0.8575031525851198,0.7622981599699586,0.7667112933442647,0.7622981599699586,0.7644252035436296,0.44095940959409596,0.8444130127298444,0.4200351493848858,0.8553008595988538,82.59,0.84
SVC,0.8715907760739787,0.8726928439071542,0.8715907760739787,0.8715252513512968,0.8461538461538461,0.8974056603773585,0.8932777232580962,0.8518021043205731,0.8053053053053053,0.79925431422773,0.8053053053053053,0.8019906578115674,0.47911547911547914,0.8887492143306097,0.5241935483870968,0.8696186961869619,0.7870822380773563,0.7817356744105257,0.7870822380773563,0.7842406180510583,0.44280442804428044,0.875058934464875,0.4752475247524752,0.8600556070435589,82.37,0.71
