Algorithm,Training Accuracy,Training Precision,Training Recall,Training F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Validation Data Accuracy,Validation Data Precision,Validation Data Recall,Validation Data F1-Score,CV Mean,CV Standard Deviation
XGBClassifier,0.9844306884261864,0.9844312001974079,0.9844306884261864,0.9844306325444514,0.8086520376175549,0.8096422161529611,0.8086520376175549,0.8085190414864333,0.7987987987987988,0.8154269846564085,0.7987987987987988,0.8055676437995832,84.56,2.13
GaussianNB,0.7786531607578315,0.7786554751481878,0.7786531607578315,0.7786473033217444,0.7905956112852665,0.791598733667337,0.7905956112852665,0.7903908691296893,0.7285285285285286,0.7706206001063649,0.7285285285285286,0.7445136122047379,82.33,2.12
LGBMClassifier,0.938285499906209,0.9382941758776321,0.938285499906209,0.9382842576949386,0.8190595611285266,0.8193794931937549,0.8190595611285266,0.819024562771487,0.815015015015015,0.8281035409496372,0.815015015015015,0.8203936999329954,85.85,1.47
RandomForestClassifier,0.8285499906208966,0.8287272904707759,0.8285499906208966,0.8285405429872047,0.8120376175548589,0.812078084681529,0.8120376175548589,0.8120271902148666,0.7915915915915915,0.8148058704202411,0.7915915915915915,0.8005265693274309,84.74,1.28
DecisionTreeClassifier,0.8007878446820484,0.8009995934117662,0.8007878446820484,0.8007308189547827,0.7821943573667711,0.7854326364923174,0.7821943573667711,0.7815281632424824,0.7495495495495496,0.8014655437408628,0.7495495495495496,0.7668837859158814,84.25,1.22
CatBoostClassifier,0.9275933220784093,0.927674256316318,0.9275933220784093,0.9275866406902065,0.8269592476489028,0.8271527920536706,0.8269592476489028,0.8269410879920752,0.8102102102102102,0.8235461417302276,0.8102102102102102,0.8157286012299562,86.36,1.18
KNeighborsClassifier,0.8478709435377978,0.8484817658713574,0.8478709435377978,0.8477809997100014,0.7682758620689655,0.7684215911780309,0.7682758620689655,0.7682326483816915,0.7027027027027027,0.752889490121131,0.7027027027027027,0.7217785960123829,78.94,1.17
LogisticRegression,0.7769649221534422,0.7771933976668557,0.7769649221534422,0.776890630949751,0.7793103448275862,0.7816258178704005,0.7793103448275862,0.7788151389390312,0.7279279279279279,0.7733706642331749,0.7279279279279279,0.7447963882865597,80.98,1.13
SVC,0.7869067717126242,0.7869061609825233,0.7869067717126242,0.7869036973023025,0.7838244514106583,0.7842797966282274,0.7838244514106583,0.783720154969131,0.7435435435435436,0.7735806337575045,0.7435435435435436,0.7556306582507576,79.63,0.1
