Algorithm,Training Accuracy,Training Precision,Training Recall,Training F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,CV Mean,CV Standard Deviation
LogisticRegression,0.7262446992304068,0.7263637255060934,0.7262446992304068,0.7262087080863762,0.7410658307210032,0.7430468725540356,0.7410658307210032,0.7405371191027715,72.55,0.85
GaussianNB,0.7304853149049788,0.730569969922617,0.7304853149049788,0.7304605741886857,0.7551724137931034,0.7576689624732472,0.7551724137931034,0.7545779416164252,72.84,0.78
KNeighborsClassifier,0.9091408826762997,0.9100695776781793,0.9091408826762997,0.909089410795424,0.757680250783699,0.7619229699666296,0.757680250783699,0.7566949659350061,84.34,3.78
RandomForestClassifier,0.8785927438354013,0.8803112735177023,0.8785927438354013,0.8784554366120494,0.886833855799373,0.8869995155206423,0.886833855799373,0.886821743976493,87.48,8.47
DecisionTreeClassifier,0.8302183131773205,0.8516547118073537,0.8302183131773205,0.8275908557456368,0.8426332288401254,0.8587432365303704,0.8426332288401254,0.8408464601361817,82.53,9.0
SVC,0.7848280194754201,0.7848371255645374,0.7848280194754201,0.7848262997286642,0.7899686520376176,0.7903795624747827,0.7899686520376176,0.7898943229294667,77.77,3.55
XGBClassifier,0.9684309722004083,0.9693648230500975,0.9684309722004083,0.9684152619079791,0.9056426332288401,0.9065415222187205,0.9056426332288401,0.9055904468572018,90.32,10.4
LGBMClassifier,0.9407099104758914,0.9427010265544266,0.9407099104758914,0.9406431688524369,0.909717868338558,0.9108574050372709,0.909717868338558,0.9096552242275675,90.41,10.3
VotingClassifier,0.8847966075074604,0.8866346694172762,0.8847966075074604,0.8846595253017167,0.8896551724137931,0.8898764680456591,0.8896551724137931,0.8896395121368231,87.75,8.58
StackingClassifier,0.9236689178577038,0.9268308109284207,0.9236689178577038,0.923527293521713,0.9047021943573668,0.9076660770872161,0.9047021943573668,0.9045286664059753,88.33,13.07
BaggingClassifier,0.8817339406313806,0.8828777374996551,0.8817339406313806,0.8816455485432125,0.8880877742946709,0.8881831406778329,0.8880877742946709,0.8880809004002268,87.68,8.43
