Algorithm,Training Accuracy,Training Precision,Training Recall,Training F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,CV Mean,CV Standard Deviation
LogisticRegression,0.7067692790953353,0.7069383676045502,0.7067692790953353,0.7067093674457952,0.7045,0.799843178057729,0.7045,0.7311949661898134,70.52,0.87
GaussianNB,0.7195696560389508,0.719801984598912,0.7195696560389508,0.7194955334156917,0.71,0.803376095978381,0.71,0.7360564742510388,71.73,0.79
KNeighborsClassifier,0.8899795822208262,0.9001487124379222,0.8899795822208262,0.8892761152552245,0.723,0.7980314990462322,0.723,0.7459010473749392,81.51,1.59
RandomForestClassifier,0.7765823778859745,0.7775043807543808,0.7765823778859745,0.7763966484472568,0.7845,0.840283639930094,0.7845,0.8006358062731477,77.24,1.04
DecisionTreeClassifier,0.7611905135856761,0.7613336328657114,0.7611905135856761,0.761157813123959,0.7375,0.8311008605215923,0.7375,0.7613133119939747,76.06,1.06
SVC,0.7934663106643631,0.7940763901964251,0.7934663106643631,0.7933591383748085,0.7795,0.8389398086357405,0.7795,0.7964693229594041,78.62,0.75
XGBClassifier,0.9780116224281451,0.9781203175279384,0.9780116224281451,0.9780103726565652,0.825,0.8324823484812586,0.825,0.8282844204975351,92.09,0.65
LGBMClassifier,0.920606250981624,0.9207582125063122,0.920606250981624,0.9205990818496707,0.8235,0.8464169034090909,0.8235,0.8315950366781746,87.61,0.9
