Algorithm,Training Accuracy,Training Precision,Training Recall,Training F1-Score,Training True Positive Rate,Training True Negative Rate,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test True Positive Rate,Test True Negative Rate,Validation Data Accuracy,Validation Data Precision,Validation Data Recall,Validation Data F1-Score,Validation Data True Positive Rate,Validation Data True Negative Rate,CV Mean,CV Standard Deviation
KNeighborsClassifier,0.8678450193140583,0.8700322382198411,0.8678450193140583,0.8676928100652357,0.8312805019753661,0.9049528301886792,0.7617617617617618,0.7525983465702782,0.7617617617617618,0.7568329878625717,0.36363636363636365,0.863607793840352,0.7574164476154712,0.7483798561065558,0.7574164476154712,0.7525820785893345,0.35424354243542433,0.8604431871758604,78.18,1.33
DecisionTreeClassifier,0.8450193140582933,0.8480822458388636,0.8450193140582933,0.8447419606997293,0.800371833604462,0.8903301886792453,0.7892892892892893,0.7724396174045477,0.7892892892892893,0.7789580151315105,0.371007371007371,0.896291640477687,0.7852046564025535,0.7688696864102963,0.7852046564025535,0.7753933448557371,0.3671586715867159,0.892032060348892,79.59,0.81
LogisticRegression,0.8386983495259277,0.8391581463060813,0.8386983495259277,0.8386695043260368,0.8224494538693935,0.855188679245283,0.7757757757757757,0.7757757757757757,0.7757757757757757,0.7757757757757757,0.44963144963144963,0.8592080452545569,0.7705595193390913,0.7716634963238387,0.7705595193390913,0.7711059593109102,0.44280442804428044,0.8543140028288543,80.53,0.78
LGBMClassifier,0.8453704787545359,0.8474664962561727,0.8453704787545359,0.8451899007212973,0.808738089704857,0.8825471698113208,0.7882882882882883,0.7738609112709833,0.7882882882882883,0.779729764799812,0.3857493857493858,0.8912633563796355,0.7788208787082238,0.7663927533586442,0.7788208787082238,0.7717734117091615,0.3800738007380074,0.8807166430928807,80.02,0.71
CatBoostClassifier,0.8450193140582933,0.8476665320337546,0.8450193140582933,0.8447835231008648,0.8036253776435045,0.8870283018867925,0.7882882882882883,0.7738609112709833,0.7882882882882883,0.779729764799812,0.3857493857493858,0.8912633563796355,0.7814494930529478,0.7664498475613758,0.7814494930529478,0.7726649657085021,0.36900369003690037,0.8868458274398868,80.36,0.68
RandomForestClassifier,0.8446681493620508,0.8466111954412404,0.8446681493620508,0.844501464513732,0.8094352777132233,0.8804245283018868,0.7867867867867868,0.772403424652431,0.7867867867867868,0.7782951617115925,0.3832923832923833,0.8900062853551226,0.7806984603830267,0.7688437395892939,0.7806984603830267,0.7739909774185484,0.3874538745387454,0.8811881188118812,80.3,0.63
XGBClassifier,0.8623434390729252,0.8659764525140132,0.8623434390729252,0.8620601350934617,0.8145479897745759,0.9108490566037736,0.7937937937937938,0.777641967130348,0.7937937937937938,0.7838130752562934,0.3832923832923833,0.8988057825267127,0.7791963950431844,0.7619189285151865,0.7791963950431844,0.7689050706415402,0.3505535055350554,0.8887317303158887,79.38,0.6
SVC,0.842209996488353,0.8467491751821404,0.842209996488353,0.8417723074272084,0.7873576574482919,0.897877358490566,0.7907907907907908,0.7676700701902901,0.7907907907907908,0.775317863202443,0.32923832923832924,0.9088623507228158,0.7919639504318438,0.7714109447107255,0.7919639504318438,0.7785978940376443,0.34870848708487084,0.9052333804809052,80.53,0.47
GaussianNB,0.8411565023996255,0.8423872658675197,0.8411565023996255,0.8410556545047778,0.8133860097606321,0.8693396226415094,0.7812812812812813,0.7716252718858658,0.7812812812812813,0.7759350626319512,0.40294840294840295,0.8780641106222502,0.7773188133683815,0.7689859036569957,0.7773188133683815,0.7727927822022475,0.4022140221402214,0.8731730315888732,80.54,0.43
