Algorithm,Training Accuracy,Training Precision,Training Recall,Training F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Validation Data Accuracy,Validation Data Precision,Validation Data Recall,Validation Data F1-Score,CV Mean,CV Standard Deviation
CatBoostClassifier,0.9469856459330144,0.948009013449744,0.9469856459330144,0.9469357545474754,0.8081313839375125,0.8169131032342246,0.8081313839375125,0.8120060314873216,0.8324324324324325,0.8290607103385913,0.8324324324324325,0.8306128059681797,86.24,2.24
GaussianNB,0.7758851674641148,0.7762502172976783,0.7758851674641148,0.7758811778136127,0.7144001602243141,0.7794218564007012,0.7144001602243141,0.7361179455166982,0.7513513513513513,0.7890997764681975,0.7513513513513513,0.765402749186533,79.66,2.03
XGBClassifier,0.9908133971291866,0.9908536295771014,0.9908133971291866,0.9908125973230533,0.7796915681954737,0.8061671230355044,0.7796915681954737,0.7898427893184173,0.8084084084084084,0.8220747427269167,0.8084084084084084,0.814060450865484,84.89,1.53
LGBMClassifier,0.9569377990430622,0.9577390045237555,0.9569377990430622,0.9569051920873167,0.8109353094332065,0.8178171500845342,0.8109353094332065,0.8140407407696153,0.8294294294294294,0.8279520809530728,0.8294294294294294,0.8286675947634313,86.0,1.34
DecisionTreeClassifier,0.8047846889952153,0.8063020913650015,0.8047846889952153,0.8044038542948905,0.7840977368315641,0.8118608782223387,0.7840977368315641,0.7944932349497686,0.7903903903903904,0.8110878454054984,0.7903903903903904,0.7985955351165874,84.53,1.2
KNeighborsClassifier,0.8562679425837321,0.8566562037510211,0.8562679425837321,0.8562662789091179,0.7196074504306028,0.7549205902826576,0.7196074504306028,0.7339196959817944,0.7297297297297297,0.757037435443902,0.7297297297297297,0.7412181350106463,79.51,1.08
RandomForestClassifier,0.8432535885167464,0.8435600212123213,0.8432535885167464,0.8431725900176991,0.7752853995593831,0.8111662482192538,0.7752853995593831,0.7880262158422354,0.8048048048048048,0.8181795443796055,0.8048048048048048,0.8103972161279147,85.49,1.06
LogisticRegression,0.8164593301435407,0.8165442312441047,0.8164593301435407,0.8164112312937877,0.7404366112557581,0.7872444905784501,0.7404366112557581,0.7571096980193259,0.7771771771771772,0.7848474729555811,0.7771771771771772,0.7807307563982656,81.76,1.0
SVC,0.818755980861244,0.8192223803474971,0.818755980861244,0.8186187418075065,0.7528539955938314,0.7813371369478124,0.7528539955938314,0.7642418200172063,0.7627627627627628,0.7734976467354103,0.7627627627627628,0.7676641846829068,79.63,0.1
