Algorithm,Training Accuracy,Training Precision,Training Recall,Training F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Validation Data Accuracy,Validation Data Precision,Validation Data Recall,Validation Data F1-Score,CV Mean,CV Standard Deviation
GaussianNB,0.7878965234695072,0.7879771587302786,0.7878965234695072,0.7878606269616052,0.7157157157157157,0.7814297626209853,0.7157157157157157,0.7374784609517077,0.7345099511828764,0.7825898084729501,0.7345099511828764,0.7517414060100697,79.94,1.49
DecisionTreeClassifier,0.8062741425728667,0.8063350500324574,0.8062741425728667,0.8062488823726282,0.7597597597597597,0.8067515192183464,0.7597597597597597,0.7756024716801916,0.750657153586181,0.7914881572089015,0.7506571535861811,0.7655128129146829,84.64,1.33
CatBoostClassifier,0.9415896055249913,0.9425696182953586,0.9415896055249913,0.9415679398916912,0.7282282282282282,0.8106653775210997,0.7282282282282282,0.7515438448734455,0.7791963950431844,0.8153548183043141,0.7791963950431844,0.7918661948206486,86.22,1.26
XGBClassifier,0.9776425143392251,0.977993295821057,0.9776425143392251,0.9776406823647306,0.7167167167167167,0.8104065861160136,0.7167167167167167,0.7420811727832375,0.7412692452121667,0.8090771687903492,0.7412692452121667,0.7617972471798754,85.18,1.19
LGBMClassifier,0.9391314526512935,0.9400214866017086,0.9391314526512935,0.9391113235013533,0.7567567567567568,0.8211607293610655,0.7567567567567568,0.7757732350675154,0.7698084866691701,0.8221625293149424,0.7698084866691701,0.7861650068905475,85.77,1.11
KNeighborsClassifier,0.8755706426313942,0.875648693063262,0.8755706426313942,0.8755557894057795,0.7222222222222222,0.7540118037264657,0.7222222222222222,0.7353533241394875,0.7251220428088622,0.7556306210214996,0.7251220428088623,0.7377765715395469,79.42,0.97
LogisticRegression,0.828046353739904,0.8283456418842012,0.828046353739904,0.8280298179875696,0.7517517517517518,0.7801150312097362,0.7517517517517518,0.7631273284661021,0.7442733758918513,0.7728154364621337,0.7442733758918513,0.7558773471501876,81.41,0.93
RandomForestClassifier,0.8397518436146553,0.8403576755615262,0.8397518436146553,0.8397100525893773,0.7642642642642643,0.8125869643387583,0.7642642642642643,0.7801568367753687,0.7867067217423958,0.8142887333378324,0.7867067217423958,0.7969871116996866,85.33,0.76
SVC,0.827812243942409,0.8292987060601007,0.827812243942409,0.8276699726981305,0.7682682682682682,0.7822219836292297,0.7682682682682682,0.7744200833567633,0.7769432970334209,0.7834375161238983,0.7769432970334209,0.7799880408385687,79.62,0.07
